source_file,entity,entity_type,start_position,end_position,context
louvre_cleaned_2.txt,Italy,GPE,1740,1745,o Italian patriotism—a belief it should belong to Italy. The theft and subsequent recovery in 1914 genera
louvre_cleaned_2.txt,1914,DATE,1784,1788,ng to Italy. The theft and subsequent recovery in 1914 generated unprecedented publicity for an art thef
louvre_cleaned_2.txt,1915,DATE,1908,1912,"blication of many cultural depictions such as the 1915 opera Mona Lisa, two early 1930s films (The Theft"
louvre_cleaned_2.txt,Two Early 1930S,DATE,1930,1945,"ural depictions such as the 1915 opera Mona Lisa, two early 1930s films (The Theft of the Mona Lisa and Arsène Lupi"
louvre_cleaned_2.txt,The Theft Of The Mona Lisa,WORK_OF_ART,1953,1979," the 1915 opera Mona Lisa, two early 1930s films (The Theft of the Mona Lisa and Arsène Lupin), and the song ""Mona Lisa"" recor"
louvre_cleaned_2.txt,Arsène Lupin,PERSON,1984,1996,"early 1930s films (The Theft of the Mona Lisa and Arsène Lupin), and the song ""Mona Lisa"" recorded by Nat King C"
louvre_cleaned_2.txt,Nat King Cole,PERSON,2036,2049,"sène Lupin), and the song ""Mona Lisa"" recorded by Nat King Cole—one of the most successful songs of the 1950s.[13"
louvre_cleaned_2.txt,The Guinness World Record,ORG,2176,2201,he most valuable paintings in the world. It holds the Guinness World Record for the highest known painting insurance valuatio
louvre_cleaned_2.txt,Renaissance,ORG,2528,2539,"del Giocondo, although her likeness is uncertain. Renaissance art historian Giorgio Vasari wrote that ""Leonardo"
louvre_cleaned_2.txt,Giorgio Vasari,PERSON,2554,2568," likeness is uncertain. Renaissance art historian Giorgio Vasari wrote that ""Leonardo undertook to paint, for Fran"
louvre_cleaned_2.txt,Francesco Del Giocondo,PERSON,2614,2636,"sari wrote that ""Leonardo undertook to paint, for Francesco del Giocondo, the portrait of Mona Lisa, his wife.""[18][19][20"
louvre_cleaned_2.txt,Ma Donna,PERSON,2748,2756,"talian is a polite form of address originating as ma donna—similar to Ma'am, Madam, or my lady in English. T"
louvre_cleaned_2.txt,Madam,PERSON,2775,2780,"address originating as ma donna—similar to Ma'am, Madam, or my lady in English. This became madonna, and "
louvre_cleaned_2.txt,Mona.[24],WORK_OF_ART,3024,3033,"sh,[21][22][23] where it is traditionally spelled Mona.[24] Lisa del Giocondo was a member of the Gherardini "
louvre_cleaned_2.txt,Gherardini,PERSON,3072,3082,"d Mona.[24] Lisa del Giocondo was a member of the Gherardini family of Florence and Tuscany, and the wife of w"
louvre_cleaned_2.txt,Florence And Tuscany,ORG,3093,3113,"Giocondo was a member of the Gherardini family of Florence and Tuscany, and the wife of wealthy Florentine silk merchant"
louvre_cleaned_2.txt,Florentine,PERSON,3139,3149," of Florence and Tuscany, and the wife of wealthy Florentine silk merchant Francesco del Giocondo.[25] The pai"
louvre_cleaned_2.txt,La Gioconda,PERSON,3357,3368,"n, Andrea.[26] The Italian name for the painting, La Gioconda, means ""jocund"" (""happy"" or ""jovial""), or literal"
louvre_cleaned_2.txt,Lisa,PERSON,3469,3473,"y ""the jocund one"", a pun on the feminine form of Lisa's married name, Giocondo.[25][27] In French, the "
louvre_cleaned_2.txt,La Joconde,ORG,3529,3539,"ried name, Giocondo.[25][27] In French, the title La Joconde has the same meaning.[24] Vasari's account of the"
louvre_cleaned_2.txt,Vasari,PERSON,3566,3572,"h, the title La Joconde has the same meaning.[24] Vasari's account of the Mona Lisa comes from his biograp"
louvre_cleaned_2.txt,1550,DATE,3650,3654,"comes from his biography of Leonardo published in 1550, 31 years after the artist's death. It has long b"
louvre_cleaned_2.txt,31 Years,DATE,3656,3664,"from his biography of Leonardo published in 1550, 31 years after the artist's death. It has long been the be"
louvre_cleaned_2.txt,Salaì,PERSON,3824,3829," and identity of the sitter. Leonardo's assistant Salaì, at his death in 1524, owned a portrait which in "
louvre_cleaned_2.txt,1524,DATE,3847,3851,"tter. Leonardo's assistant Salaì, at his death in 1524, owned a portrait which in his personal papers wa"
louvre_cleaned_2.txt,2005,DATE,4035,4039,"nted such a work, and its date, were confirmed in 2005 when a scholar at Heidelberg University discovere"
louvre_cleaned_2.txt,Heidelberg University,ORG,4058,4079,"ts date, were confirmed in 2005 when a scholar at Heidelberg University discovered a marginal note in a 1477 printing of "
louvre_cleaned_2.txt,1477,DATE,4112,4116,elberg University discovered a marginal note in a 1477 printing of a volume by ancient Roman philosopher
louvre_cleaned_2.txt,Cicero,ORG,4167,4173,"printing of a volume by ancient Roman philosopher Cicero. Dated October 1503, the note was written by Leon"
louvre_cleaned_2.txt,October 1503,DATE,4181,4193,"volume by ancient Roman philosopher Cicero. Dated October 1503, the note was written by Leonardo's contemporary "
louvre_cleaned_2.txt,Agostino Vespucci,ORG,4243,4260,", the note was written by Leonardo's contemporary Agostino Vespucci. This note likens Leonardo to renowned Greek pain"
louvre_cleaned_2.txt,Apelles,PERSON,4314,4321,"is note likens Leonardo to renowned Greek painter Apelles, who is mentioned in the text, and states that Le"
louvre_cleaned_2.txt,Lisa Del Giocondo.[29,PERSON,4420,4441,eonardo was at that time working on a painting of Lisa del Giocondo.[29] In response to the announcement of the discovery
louvre_cleaned_2.txt,Vincent Delieuvin,PERSON,4510,4527,"e announcement of the discovery of this document, Vincent Delieuvin, the Louvre representative, stated ""Leonardo da V"
louvre_cleaned_2.txt,1503,DATE,4599,4603,"ative, stated ""Leonardo da Vinci was painting, in 1503, the portrait of a Florentine lady by the name of"
louvre_cleaned_2.txt,2019,DATE,4869,4873,"e.""[30] The catalogue raisonné Leonardo da Vinci (2019) confirms that the painting probably depicts Lisa"
louvre_cleaned_2.txt,Isabella,PERSON,4943,4951,"painting probably depicts Lisa del Giocondo, with Isabella d'Este being the only plausible alternative.[31] "
louvre_cleaned_2.txt,"Isabella Of Aragon,[34",ORG,5300,5322,"sed as the subject of the painting,[33] including Isabella of Aragon,[34] Cecilia Gallerani,[35] Costanza d'Avalos, Duches"
louvre_cleaned_2.txt,Costanza D'Avalos,PERSON,5347,5364,"ng Isabella of Aragon,[34] Cecilia Gallerani,[35] Costanza d'Avalos, Duchess of Francavilla,[33] Pacifica Brandano/Br"
louvre_cleaned_2.txt,Isabella Gualanda,PERSON,5422,5439,"s of Francavilla,[33] Pacifica Brandano/Brandino, Isabella Gualanda, Caterina Sforza, Bianca Giovanna Sforza, Salaì, "
louvre_cleaned_2.txt,Caterina Sforza,PERSON,5441,5456,"3] Pacifica Brandano/Brandino, Isabella Gualanda, Caterina Sforza, Bianca Giovanna Sforza, Salaì, and even Leonardo"
louvre_cleaned_2.txt,Giovanna Sforza,PERSON,5465,5480,"ndino, Isabella Gualanda, Caterina Sforza, Bianca Giovanna Sforza, Salaì, and even Leonardo himself.[36][37][38] Ps"
louvre_cleaned_2.txt,Psychoanalyst Sigmund Freud,WORK_OF_ART,5528,5555,"za, Salaì, and even Leonardo himself.[36][37][38] Psychoanalyst Sigmund Freud theorized that Leonardo imparted an approving smi"
louvre_cleaned_2.txt,The Baptism Of Christ,WORK_OF_ART,5683,5704,"Caterina, onto the Mona Lisa and other works like The Baptism of Christ, Virgin of the Rocks, and The Virgin and Child wi"
louvre_cleaned_2.txt,The Virgin Mary,GPE,5868,5883,"ong resemblance to many Renaissance depictions of the Virgin Mary, who was at that time seen as an ideal for womanh"
louvre_cleaned_2.txt,Three-Quarter,DATE,6365,6378," of the eyes"".[45] The depiction of the sitter in three-quarter profile is similar to late 15th-century works by "
louvre_cleaned_2.txt,Late 15Th-Century,DATE,6401,6418,the sitter in three-quarter profile is similar to late 15th-century works by Lorenzo di Credi and Agnolo di Domenico 
louvre_cleaned_2.txt,Lorenzo Di Credi,PERSON,6428,6444, profile is similar to late 15th-century works by Lorenzo di Credi and Agnolo di Domenico del Mazziere.[44] Frank Zö
louvre_cleaned_2.txt,Frank Zöllner,PERSON,6486,6499,di Credi and Agnolo di Domenico del Mazziere.[44] Frank Zöllner notes that the sitter's general position can be t
louvre_cleaned_2.txt,Woods-Marsden,ORG,6704,6717,"panel had precedents in Flemish portraiture.""[46] Woods-Marsden cites Hans Memling's portrait of Benedetto Portin"
louvre_cleaned_2.txt,Hans Memling'S,PERSON,6724,6738," in Flemish portraiture.""[46] Woods-Marsden cites Hans Memling's portrait of Benedetto Portinari (1487) or Italian"
louvre_cleaned_2.txt,Benedetto Portinari,PERSON,6751,6770,6] Woods-Marsden cites Hans Memling's portrait of Benedetto Portinari (1487) or Italian imitations such as Sebastiano M
louvre_cleaned_2.txt,1487,DATE,6772,6776,s Hans Memling's portrait of Benedetto Portinari (1487) or Italian imitations such as Sebastiano Mainard
louvre_cleaned_2.txt,Sebastiano Mainardi'S,PERSON,6808,6829,"to Portinari (1487) or Italian imitations such as Sebastiano Mainardi's pendant portraits for the use of a loggia, which "
louvre_cleaned_2.txt,Benci,ORG,7629,7634," line not at the neck, as he did with Ginevra de' Benci, but on a level with the eyes, thus linking the f"
louvre_cleaned_2.txt,Silvano Vincenti,ORG,7815,7831,7] The bridge in the background was identified by Silvano Vincenti as the four-arched Romito di Laterina bridge from
louvre_cleaned_2.txt,Romito Di Laterina,ORG,7851,7869,"identified by Silvano Vincenti as the four-arched Romito di Laterina bridge from Etruscan-Roman times near Laterina, A"
louvre_cleaned_2.txt,Laterina,GPE,7908,7916,"di Laterina bridge from Etruscan-Roman times near Laterina, Arezzo, over the Arno river.[53] Other bridges w"
louvre_cleaned_2.txt,Arezzo,PERSON,7918,7924,"a bridge from Etruscan-Roman times near Laterina, Arezzo, over the Arno river.[53] Other bridges with simi"
louvre_cleaned_2.txt,Arno,ORG,7935,7939,"uscan-Roman times near Laterina, Arezzo, over the Arno river.[53] Other bridges with similar arches sugg"
louvre_cleaned_2.txt,2007,DATE,8224,8228,"asari describes the eyebrows in detail.[54][b] In 2007, French engineer Pascal Cotte announced that his "
louvre_cleaned_2.txt,Pascal Cotte,ORG,8246,8258,"ebrows in detail.[54][b] In 2007, French engineer Pascal Cotte announced that his ultra-high resolution scans of"
louvre_cleaned_2.txt,(15Th Century,DATE,9063,9076,"he best, ""even when measured by late quattrocento (15th century) or even twenty-first century standards.""[59] Som"
louvre_cleaned_2.txt,Twenty-First Century,DATE,9086,9106,"sured by late quattrocento (15th century) or even twenty-first century standards.""[59] Some historians in Eastern art, s"
louvre_cleaned_2.txt,Eastern,ORG,9142,9149,"-first century standards.""[59] Some historians in Eastern art, such as Yukio Yashiro, argue that the landsc"
louvre_cleaned_2.txt,Yukio Yashiro,PERSON,9163,9176,"rds.""[59] Some historians in Eastern art, such as Yukio Yashiro, argue that the landscape in the background of th"
louvre_cleaned_2.txt,2003,DATE,9352,9356,ested for lack of clear evidence.[60] Research in 2003 by Professor Margaret Livingstone of Harvard Univ
louvre_cleaned_2.txt,Margaret Livingstone,PERSON,9370,9390,clear evidence.[60] Research in 2003 by Professor Margaret Livingstone of Harvard University said that Mona Lisa's smile
louvre_cleaned_2.txt,Harvard University,ORG,9394,9412,arch in 2003 by Professor Margaret Livingstone of Harvard University said that Mona Lisa's smile disappears when obser
louvre_cleaned_2.txt,Mona Lisa'S,PERSON,9423,9434,garet Livingstone of Harvard University said that Mona Lisa's smile disappears when observed with direct vision
louvre_cleaned_2.txt,Well.[61] Research,ORG,9660,9678,"y; however, peripheral vision can pick up shadows well.[61] Research in 2008 by a geomorphology professor at Urbino Un"
louvre_cleaned_2.txt,2008,DATE,9682,9686, vision can pick up shadows well.[61] Research in 2008 by a geomorphology professor at Urbino University
louvre_cleaned_2.txt,Urbino University,ORG,9719,9736, Research in 2008 by a geomorphology professor at Urbino University and an artist-photographer revealed that Mona Lis
louvre_cleaned_2.txt,Pesaro,GPE,9880,9886,"he Montefeltro region in the Italian provinces of Pesaro and Urbino, and Rimini.[62][63] Research in 2023/"
louvre_cleaned_2.txt,Urbino,ORG,9891,9897,"tro region in the Italian provinces of Pesaro and Urbino, and Rimini.[62][63] Research in 2023/2024 by geo"
louvre_cleaned_2.txt,2023/2024,DATE,9931,9940,"esaro and Urbino, and Rimini.[62][63] Research in 2023/2024 by geologist and art historian Ann Pizzorusso sug"
louvre_cleaned_2.txt,Ann Pizzorusso,PERSON,9972,9986,"earch in 2023/2024 by geologist and art historian Ann Pizzorusso suggests that the landscape contains ""several rec"
louvre_cleaned_2.txt,Lecco,PERSON,10058,10063,"dscape contains ""several recognisable features of Lecco, on the shores of Lake Como in the Lombardy regio"
louvre_cleaned_2.txt,Lombardy,GPE,10099,10107,"tures of Lecco, on the shores of Lake Como in the Lombardy region of northern Italy.""[64] History Creation a"
louvre_cleaned_2.txt,Leonardo Da Vinci'S,PERSON,10168,10187,"northern Italy.""[64] History Creation and date Of Leonardo da Vinci's works, the Mona Lisa is the only portrait whose a"
louvre_cleaned_2.txt,Saint Jerome,PERSON,10329,10341,"ioned,[65] and one of four worksthe others being —Saint Jerome in the Wilderness, Adoration of the Magi and The "
louvre_cleaned_2.txt,"The Wilderness, Adoration Of The Magi",ORG,10345,10382,"ne of four worksthe others being —Saint Jerome in the Wilderness, Adoration of the Magi and The Last Supper —whose attribution has avoide"
louvre_cleaned_2.txt,October 1503.[29][30,DATE,10541,10561,"sa del Giocondo, the sitter for the Mona Lisa, by October 1503.[29][30] It is believed by some that the Mona Lisa was be"
louvre_cleaned_2.txt,1504,DATE,10626,10630,d by some that the Mona Lisa was begun in 1503 or 1504 in Florence.[67] Although the Louvre states that 
louvre_cleaned_2.txt,Between 1503,DATE,10706,10718," the Louvre states that it was ""doubtless painted between 1503 and 1506"",[8] art historian Martin Kemp says that"
louvre_cleaned_2.txt,Martin Kemp,PERSON,10747,10758," painted between 1503 and 1506"",[8] art historian Martin Kemp says that there are some difficulties in confirmi"
louvre_cleaned_2.txt,Alessandro Vezzosi,ORG,10841,10859,lties in confirming the dates with certainty.[25] Alessandro Vezzosi believes that the painting is characteristic of L
louvre_cleaned_2.txt,The Final Years,DATE,10928,10943,"painting is characteristic of Leonardo's style in the final years of his life, post-1513.[68] Other academics argue"
louvre_cleaned_2.txt,Four Years,DATE,11140,11150,"cording to Vasari, ""after he had lingered over it four years, [he] left it unfinished"".[19] In 1516, Leonardo "
louvre_cleaned_2.txt,1516,DATE,11185,11189,"r it four years, [he] left it unfinished"".[19] In 1516, Leonardo was invited by King Francis I to work a"
louvre_cleaned_2.txt,Carmen C. Bambach,PERSON,11406,11423,on it after he moved to France.[37] Art historian Carmen C. Bambach has concluded that Leonardo probably continued re
louvre_cleaned_2.txt,Raphael,PERSON,11650,11657,"a Lisa unfinished.[72][73][74][c] Circa 1505,[76] Raphael executed a pen-and-ink sketch, in which the colum"
louvre_cleaned_2.txt,"The National Museum Of Art, Architecture And Design And The Walters Art Museum",ORG,11883,11961,"r later copies of the Mona Lisa, such as those in the National Museum of Art, Architecture and Design and The Walters Art Museum, also display large flanking columns. As a result"
louvre_cleaned_2.txt,1993,DATE,12084,12088,"he Mona Lisa had been trimmed.[80][81][82][83] By 1993, Frank Zöllner observed that the painting surface"
louvre_cleaned_2.txt,16Th-Century,DATE,12272,12284,"5] In view of this, Vincent Delieuvin, curator of 16th-century Italian painting at the Louvre, states that the s"
louvre_cleaned_2.txt,Zöllner,PERSON,12417,12424," have been inspired by another version,[86] while Zöllner states that the sketch may be after another Leona"
louvre_cleaned_2.txt,October 1517,DATE,12529,12541,ortrait of the same subject.[84] The record of an October 1517 visit by Louis d'Aragon states that the Mona Lisa
louvre_cleaned_2.txt,Louis D'Aragon,ORG,12551,12565,bject.[84] The record of an October 1517 visit by Louis d'Aragon states that the Mona Lisa was executed for the de
louvre_cleaned_2.txt,Giuliano De',ORG,12622,12634," that the Mona Lisa was executed for the deceased Giuliano de' Medici, Leonardo's steward at Belvedere, Vienna, "
louvre_cleaned_2.txt,Belvedere,GPE,12665,12674,"ceased Giuliano de' Medici, Leonardo's steward at Belvedere, Vienna, between 1513 and 1516;[87][88][d] this w"
louvre_cleaned_2.txt,Vienna,GPE,12676,12682,"iano de' Medici, Leonardo's steward at Belvedere, Vienna, between 1513 and 1516;[87][88][d] this was likel"
louvre_cleaned_2.txt,Between 1513,DATE,12684,12696," Medici, Leonardo's steward at Belvedere, Vienna, between 1513 and 1516;[87][88][d] this was likely an error.[89"
louvre_cleaned_2.txt,Francesco,PERSON,12823,12832,"he painting was created for the sitter's husband, Francesco del Giocondo.[90] A number of experts have argued"
louvre_cleaned_2.txt,Giocondo C. 1503,PERSON,13280,13296,"rominent columns, would have been commissioned by Giocondo c. 1503, and left unfinished in Leonardo's pupil and assi"
louvre_cleaned_2.txt,1513,DATE,13447,13451,"he second, commissioned by Giuliano de' Medici c. 1513, would have been sold by Salaì to Francis I in 15"
louvre_cleaned_2.txt,The 16Th Century,DATE,13695,13711,"forementioned fates.[25][28][93] At some point in the 16th century, a varnish was applied to the painting.[3] It was"
louvre_cleaned_2.txt,Fontainebleau,ORG,13784,13797, to the painting.[3] It was kept at the Palace of Fontainebleau until Louis XIV moved it to the Palace of Versail
louvre_cleaned_2.txt,Louis Xiv,PERSON,13804,13813," It was kept at the Palace of Fontainebleau until Louis XIV moved it to the Palace of Versailles, where it re"
louvre_cleaned_2.txt,1797,DATE,13906,13910,"e it remained until the French Revolution.[94] In 1797, it went on permanent display at the Louvre.[12] "
louvre_cleaned_2.txt,Napoleon,ORG,14098,14106,Louvre but spent a brief period in the bedroom of Napoleon (d. 1821) in the Tuileries Palace.[94] Although t
louvre_cleaned_2.txt,1821,DATE,14111,14115,ent a brief period in the bedroom of Napoleon (d. 1821) in the Tuileries Palace.[94] Although the Mona L
louvre_cleaned_2.txt,Tuileries,ORG,14124,14133,eriod in the bedroom of Napoleon (d. 1821) in the Tuileries Palace.[94] Although the Mona Lisa was not widely
louvre_cleaned_2.txt,The 1860S,DATE,14216,14225,"sa was not widely known outside the art world, in the 1860s, a portion of the French intelligentsia began to "
louvre_cleaned_2.txt,21 August 1911,DATE,14510,14524,"as still not popular among the lay-public.[97] On 21 August 1911, the painting was stolen from the Louvre.[98] The"
louvre_cleaned_2.txt,The Next Day,DATE,14611,14623,uvre.[98] The painting was first reported missing the next day by painter Louis Béroud. After some confusion as 
louvre_cleaned_2.txt,Louis Béroud,PERSON,14635,14647,as first reported missing the next day by painter Louis Béroud. After some confusion as to whether the painting 
louvre_cleaned_2.txt,A Week,DATE,14757,14763,"photographed somewhere, the Louvre was closed for a week for investigation. French poet Guillaume Apollina"
louvre_cleaned_2.txt,Guillaume Apollinaire,PERSON,14795,14816, closed for a week for investigation. French poet Guillaume Apollinaire came under suspicion and was arrested and impriso
louvre_cleaned_2.txt,Pablo Picasso,PERSON,14905,14918,"and imprisoned. Apollinaire implicated his friend Pablo Picasso, who was brought in for questioning. Both were la"
louvre_cleaned_2.txt,Peruggia,PERSON,15293,15301,n under his coat after the museum had closed.[27] Peruggia was an Italian patriot who believed that Leonardo
louvre_cleaned_2.txt,Two Years,DATE,15627,15636,"er having kept the Mona Lisa in his apartment for two years, Peruggia grew impatient and was caught when he a"
louvre_cleaned_2.txt,Giovanni Poggi,GPE,15709,15723,"nt and was caught when he attempted to sell it to Giovanni Poggi, director of the Uffizi Gallery in Florence. It w"
louvre_cleaned_2.txt,The Uffizi Gallery,ORG,15737,15755,"tempted to sell it to Giovanni Poggi, director of the Uffizi Gallery in Florence. It was exhibited in the Uffizi Galle"
louvre_cleaned_2.txt,Florence,GPE,15759,15767,"Giovanni Poggi, director of the Uffizi Gallery in Florence. It was exhibited in the Uffizi Gallery for over "
louvre_cleaned_2.txt,Two Weeks,DATE,15817,15826,. It was exhibited in the Uffizi Gallery for over two weeks and returned to the Louvre on 4 January 1914.[104
louvre_cleaned_2.txt,4 January 1914.[104,DATE,15857,15876, for over two weeks and returned to the Louvre on 4 January 1914.[104] Peruggia served six months in prison for the cri
louvre_cleaned_2.txt,Six Months,DATE,15894,15904,he Louvre on 4 January 1914.[104] Peruggia served six months in prison for the crime and was hailed for his pa
louvre_cleaned_2.txt,A Year,DATE,15978,15984," and was hailed for his patriotism in Italy.[100] A year after the theft, Saturday Evening Post journalist"
louvre_cleaned_2.txt,Saturday,DATE,16002,16010,"patriotism in Italy.[100] A year after the theft, Saturday Evening Post journalist Karl Decker wrote that he"
louvre_cleaned_2.txt,Karl Decker,PERSON,16035,16046,"after the theft, Saturday Evening Post journalist Karl Decker wrote that he met an alleged accomplice named Edu"
louvre_cleaned_2.txt,Eduardo De Valfierno,ORG,16093,16113,"ker wrote that he met an alleged accomplice named Eduardo de Valfierno, who claimed to have masterminded the theft. Forg"
louvre_cleaned_2.txt,Forger Yves Chaudron,PERSON,16159,16179,"erno, who claimed to have masterminded the theft. Forger Yves Chaudron was to have created six copies of the painting to"
louvre_cleaned_2.txt,Us,GPE,16242,16244,created six copies of the painting to sell in the US while concealing the location of the original.[10
louvre_cleaned_2.txt,Decker,PERSON,16297,16303,ile concealing the location of the original.[103] Decker published this account of the theft in 1932.[105]
louvre_cleaned_2.txt,Château De Chambord,ORG,16489,16508,"Château d'Amboise, then to the Loc-Dieu Abbey and Château de Chambord, then finally to the Musée Ingres in Montauban.[1"
louvre_cleaned_2.txt,The Musée Ingres,ORG,16526,16542,"eu Abbey and Château de Chambord, then finally to the Musée Ingres in Montauban.[13][106] Since the 1990s, the paint"
louvre_cleaned_2.txt,The 1990S,DATE,16572,16581," to the Musée Ingres in Montauban.[13][106] Since the 1990s, the painting has been temporarily moved to accom"
louvre_cleaned_2.txt,Between 1992 And 1995,DATE,16684,16705,"ate renovations to the Louvre on three occasions: between 1992 and 1995, from 2001 to 2005, and again in 2019.[107] On 30"
louvre_cleaned_2.txt,2001,DATE,16712,16716,"e on three occasions: between 1992 and 1995, from 2001 to 2005, and again in 2019.[107] On 30 December 1"
louvre_cleaned_2.txt,30 December 1956,DATE,16753,16769,"95, from 2001 to 2005, and again in 2019.[107] On 30 December 1956, Bolivian Ugo Ungaza Villegas threw a rock at the"
louvre_cleaned_2.txt,Bolivian Ugo Ungaza Villegas,PERSON,16771,16799,"005, and again in 2019.[107] On 30 December 1956, Bolivian Ugo Ungaza Villegas threw a rock at the Mona Lisa while it was on dis"
louvre_cleaned_2.txt,A Few Years Earlier,DATE,17031,17050,[108] The painting was protected by glass because a few years earlier a man who claimed to be in love with the painting
louvre_cleaned_2.txt,Salvador Dalí,PERSON,17178,17191,"de and tried to steal it.[109] After this attack, Salvador Dalí wrote in 1963 an essay titled ""Why they attack th"
louvre_cleaned_2.txt,1963,DATE,17201,17205,"t.[109] After this attack, Salvador Dalí wrote in 1963 an essay titled ""Why they attack the Mona Lisa"", "
louvre_cleaned_2.txt,1956,DATE,17309,17313,"rencing earlier Freud theories.[43][40] Since the 1956 attack, bulletproof glass has been used to shield"
louvre_cleaned_2.txt,21 April 1974,DATE,17462,17475,"l subsequent cases the painting was undamaged. On 21 April 1974, while the painting was on display at the Tokyo N"
louvre_cleaned_2.txt,The Tokyo National Museum,ORG,17514,17539," April 1974, while the painting was on display at the Tokyo National Museum, a woman sprayed it with red paint as a protest a"
louvre_cleaned_2.txt,2 August 2009,DATE,17665,17678,"re to provide access for disabled people.[110] On 2 August 2009, a Russian woman, distraught over being denied Fr"
louvre_cleaned_2.txt,29 May 2022,DATE,17857,17868,"attered against the glass enclosure.[111][112] On 29 May 2022, a male activist, disguised as a woman in a wheel"
louvre_cleaned_2.txt,28 January 2024,DATE,18245,18260,"pened after the Louvre filed a complaint.[116] On 28 January 2024, two attackers from an environmentalist group thr"
louvre_cleaned_2.txt,The Early 21St Century,DATE,18517,18539,"painting was not damaged.[117] Modern analysis In the early 21st century, French scientist Pascal Cotte hypothesized a hid"
